ECLIPSE 隨行濾茶壺｜整組茶具，一手掌握！,初芳宇,907540,3590,https://www.zeczec.com//projects/eclipse-travel-press,"內建量杯 × 陶瓷純飲 × 真空保溫 × 茶葉舒展 × 淬取控制 × 超好清洗！ 專業又時尚的整組茶具，一手就能掌握！,zeczec",59 天,2022/05/20 12:00 – 2022/07/20 23:59,2022/05/20 12:00:00,2022/07/20 23:59:00
【Lala Kitchen｜正宗韓國製無煙火烤盤】韓國專利技術，無煙烤肉，火鍋、燒烤一盤搞定！,Lala Kitchen,1020871,2390,https://www.zeczec.com//projects/lala-kitchen,"韓國專利技術，讓你烤肉時，不再霧濛濛！同時「燒烤」、「火鍋」擁有最讚的韓式燒烤體驗！,zeczec",4 天,2022/04/21 12:00 – 2022/05/27 02:00,2022/04/21 12:00:00,2022/05/27 02:00:00
【 Cabeau｜ incredi-belt 超能護腰帶 】輕便好收納，全球第一個隨身體移動的護腰帶，你的脊椎守護大師！,Cabeau Taiwan,769695,1090,https://www.zeczec.com//projects/cabeau,"提供最穩定隨心的守護！輕巧便攜的 【 Cabeau｜incredi-belt 超能護腰帶 】無論你在哪，超能護腰帶給你更舒適的生活！,zeczec",10 天,2022/04/20 12:00 – 2022/06/02 02:00,2022/04/20 12:00:00,2022/06/02 02:00:00
【 SHIH LEI 時光自動真空寶｜儲食新概念空間】8L真空負壓保鮮大容量，雙層結構超好裝，一旋鈕典藏最初美好風味！,SHIH LEI世磊實業,39800,2900,https://www.zeczec.com//projects/SHIHLEI,"新鮮IN！瓶罐OUT！真空負壓延長保鮮、簡單易用蓄電免配件、使用空間不受限、智慧提醒、美型時尚，封存霎那、重現最初只要瞬間。,zeczec",28 天,2022/04/20 12:00 – 2022/06/20 02:00,2022/04/20 12:00:00,2022/06/20 02:00:00
皮拉提斯體塑圈 Pilates Ring—美體健身好夥伴,takue,1068,369,https://www.zeczec.com//projects/pilates-ring,"全身塑形，重塑身材曲線，可有效提升訓練度與體態正確度,zeczec",17 天,2022/04/20 12:00 – 2022/06/08 23:59,2022/04/20 12:00:00,2022/06/08 23:59:00
GoDrip – 第一款可拆解的全尺寸精品咖啡濾杯,Alon Chen,6880,880,https://www.zeczec.com//projects/godrip,"極簡x便攜x專業x衛生。 愛咖啡的你，不會只有一個濾杯，這是一個你不可或缺的濾杯！ 精品咖啡愛好者的戶外完美解答，完美的濾杯也可以不佔空間。台灣設計製造全不鏽鋼材質，確保安全衛生。收納厚度僅9m...,zeczec",28 天,2022/04/20 11:00 – 2022/06/19 23:59,2022/04/20 11:00:00,2022/06/19 23:59:00
MiniBle X 微氣泡起波器｜清潔、除菌、去農殘，一顆搞定｜家用微氣泡革命，居家用水品質大升級！,HerherS和荷時際,4942362,1750,https://www.zeczec.com//projects/minible-x,"從台灣開始，我們想要繼續照顧地球，實踐每個家裡都擁有微氣泡的承諾。,zeczec", 17 小時,2022/04/19 20:00 – 2022/05/24 02:30,2022/04/19 20:00:00,2022/05/24 02:30:00
【 SAMSUNG｜Bespoke Jet™ 】三星風暴級無線變頻吸塵器，韓國熱銷超過 30 萬台 ✧ 科技美型 1.44KG 極輕設計，獨立集塵充電座，210W 超強吸力！,samsung,2723660,34900,https://www.zeczec.com//projects/samsung-bespoke-jet,"吸地、拖地、集塵，這台通通搞定！一機包辦，灰塵零接觸！全機 2 年保固，主機馬達 10 年保固！,zeczec",14 天,2022/04/19 12:00 – 2022/06/05 23:59,2022/04/19 12:00:00,2022/06/05 23:59:00
【 Tairona R-01｜真．輕巧．掌上劇院 】小巧便攜，畫質清晰。小體積，大「視」界！滿足你從 居家生活 到 戶外旅遊！,inaday's,9946122,8888,https://www.zeczec.com//projects/tairona-r-01-l-4k,"inaday's 首次推出 [ 掌上劇院 ]，堅持品質及功能性一致，絕對顛覆你對微型投影機的既定印象!!!,zeczec",4 天,2022/04/19 11:00 – 2022/05/26 23:59,2022/04/19 11:00:00,2022/05/26 23:59:00
云威優品省電罩｜節省冷氣電費+環境抑菌新概念｜方便簡潔，不需要外加電源的物理環保產品, 云威優品,138332,1490,https://www.zeczec.com//projects/win-way-excellent,"輕鬆安裝云威優品省電罩在冷氣機出風口，冷氣通過特殊網狀結構材料，達到節省冷氣電費並可在冷氣空間內抑菌的新產品。,zeczec",24 天,2022/04/18 11:00 – 2022/06/15 23:59,2022/04/18 11:00:00,2022/06/15 23:59:00
【IDMIX / P140 / 140W GaN 氮化鎵快速充電器】爆猛 140W 充電王者降臨！同級最高功率、支援 PD3.1、2C1A 強效輸出！,Chic Flott 奇舫優選,786885,1980,https://www.zeczec.com//projects/idmix-p140-140w-gan-140w-2c1a,"同級最高規格 140W 輸出功率，可支援 MacBook Pro 全速充電 & 眾多品牌之筆記型電腦、平板電腦、智慧型手機進行充電，日用、差旅、辦公、出遊，就這麼一顆，搞定你的充電事！,zeczec",23 天,2022/04/15 12:00 – 2022/06/14 23:59,2022/04/15 12:00:00,2022/06/14 23:59:00
中女青年138期《花季徘徊》| 一本關於青春、迷茫與成長的刊物,中女青年,38854,280,https://www.zeczec.com//projects/tcgseditor,"中女青年138期《花季徘徊》，以花季作為青春象徵，書寫成長的必經旅程：徘徊。,zeczec",5 天,2022/04/15 12:00 – 2022/05/27 23:59,2022/04/15 12:00:00,2022/05/27 23:59:00
【虎爺將軍聖誕千秋】闔家拜拜最喜氣的供品－炭大桔虎爺開運皂！虎力保護！,88財神,27020,460,https://www.zeczec.com//projects/moneygods-tiger,"炭大桔虎爺開運皂，使用胡蘿蔔素和竹炭，彩繪出虎爺將軍身上的美麗紋路，成為與眾不同的祝壽賀禮拜拜供品。,zeczec",29 天,2022/04/15 12:00 – 2022/06/20 23:59,2022/04/15 12:00:00,2022/06/20 23:59:00
|好|事|百|靈| eLIGHTS。百靈菇。原生自高海拔地區，初次在台灣栽培量產成功的珍稀菌種,銥光農業,11596,550,https://www.zeczec.com//projects/elights2203,"海洋香氣般的獨特鮮味・脆實Q彈口感・吃過一次絕對印象深刻的主角級食材,zeczec",24 天,2022/04/15 12:00 – 2022/06/15 23:59,2022/04/15 12:00:00,2022/06/15 23:59:00
【真無線∞空氣清淨機】擺脫有線束縛、成就無限淨化！四大強效All in one，隨心移動無限制,KINYO,1169018,2280,https://www.zeczec.com//projects/AO-600,"充電式設計，內建大容量電池，使用時不再受限於插座位置，讓生活中的多餘電線通通消失，達到真正「無線」和「無限」。體積變小、效能再提升！四大淨全面保護，實現走到哪、淨到哪的生活品質。,zeczec",,2022/04/15 11:00 – 2022/05/22 23:59,2022/04/15 11:00:00,2022/05/22 23:59:00
【SHIELD 酷熱貼】一機享受冷熱真功敷 | 全球首創、台灣製造,Aurai,6470897,1980,https://www.zeczec.com//projects/Aurai-Shield,"重新定義放鬆！再忙也要照顧自己、守護家人｜每個放鬆時刻都有歐萊依Aurai,zeczec",9 天,2022/04/13 12:00 – 2022/05/31 23:59,2022/04/13 12:00:00,2022/05/31 23:59:00
WOKY ♃99純鈦濾芯陶瓷環保杯 500ml | 首創2合1純鈦濾芯＋鈦濾網，讓陶瓷保溫瓶為你開啟一場純粹的鈦空之旅 ,WOKY,1375798,1600,https://www.zeczec.com//projects/WOKY-ZETA500ml,"從WOKY廣受好評的好口杯延伸，2022業界全新♃99鈦濾芯異元素，結合喜歡陶瓷親潤感又欲追求更高奢華品味的職人尖端新選擇。,zeczec",36 天,2022/04/13 12:00 – 2022/06/28 02:00,2022/04/13 12:00:00,2022/06/28 02:00:00
TIFG日本製焚火台 | 耐重鋼板不變形，收納厚度不到1公分，營火野炊職人逸品 · TakiBeIta焚火台,Single Step,2088331,4490,https://www.zeczec.com//projects/tifg-takibeita,"露營烤肉,營火活動最值得擁有的職人焚火台，日本集資排名第一！日本香川縣TIFG鐵匠鍛造，厚實鋼板耐重不變型，組裝快速收納不到1cm！世界最美燒柴爐,zeczec", 15 小時,2022/04/12 12:00 – 2022/05/23 23:59,2022/04/12 12:00:00,2022/05/23 23:59:00
日本國寶級工藝輪島塗職人手工打造｜輪島漆萬用料理鏟｜田谷漆器店,KK select,2572631,1950,https://www.zeczec.com//projects/wajimanuri2,"擁有 200 年以上歷史的田谷漆器店，改良國寶級工藝輪島塗職人工具所製成的第二代萬用料理鏟，雙重抗菌保護，再也不擔心木鏟發霉！,zeczec",8 天,2022/04/12 12:00 – 2022/05/31 02:00,2022/04/12 12:00:00,2022/05/31 02:00:00
 [ 植直大 ti̍t-ti̍t-tuā｜身高量表 ] 全新概念紀錄成長的獨一無二,A plant studio｜那間觀葉植物店,103820,650,https://www.zeczec.com//projects/tiit-tiit-tua,"用新方式記錄孩子的成長，以植物圖鑑海報的形式融入居家公共空間，讓大家看見並好好保存。,zeczec",21 天,2022/04/11 20:00 – 2022/06/12 23:59,2022/04/11 20:00:00,2022/06/12 23:59:00
小椿日和市集 ｜ 與創作面對面，療癒的體驗式市集。,小椿日和市集,10100,500,https://www.zeczec.com//projects/tsubaki-chun,"想接觸手作或文創，課程選擇無須煩惱，用逛市集的心情，隨興選擇令自己感到療癒的體驗。,zeczec",9 天,2022/04/08 15:00 – 2022/06/01 12:00,2022/04/08 15:00:00,2022/06/01 12:00:00
0號玩家｜用一個新身份，打開無限可能性。,臺北表演藝術中心,633300,800,https://www.zeczec.com//projects/tpac-beta,"你認同觀看事物的角度不只一種、解答也不會像教科書只有一個正解，你支持這樣的開放性，喜歡不同的刺激，那你來對地方了。,zeczec",8 天,2022/04/08 12:00 – 2022/05/31 12:00,2022/04/08 12:00:00,2022/05/31 12:00:00
【日本島產業SHIMA SANGYO｜廚餘除臭乾燥機】溫風烘乾廚餘、活性碳設計有效除臭，美型無刀片好清洗!,Suntrail,492660,9990,https://www.zeczec.com//projects/shima-sangyo,"日本廚餘機領導品牌｜溫風烘乾乾燥廚餘、活性碳除臭、運轉超靜音、免安裝插電即可用，無刀片更好洗的廚餘機。美型小巧榮獲多項國際設計大賞。 ,zeczec",9 天,2022/04/08 09:00 – 2022/05/31 23:59,2022/04/08 09:00:00,2022/05/31 23:59:00
Terncy 台灣小燕科技｜Apple HomeKit宙斯智慧門鎖｜掌握居家安全的第一道防線,Terncy Taiwan,1763329,12999,https://www.zeczec.com//projects/Terncy-Zeus-Homekit,"🔔最後倒數｜限量優惠再贈免費安裝🔔 智慧家庭第一步，從智慧門鎖開始，真正通過Apple HomeKit認證的智慧門鎖，支援六種最實用解鎖功能，符合全家大小使用習慣。,zeczec",8 天,2022/04/07 21:00 – 2022/05/31 02:00,2022/04/07 21:00:00,2022/05/31 02:00:00
炎夏不烤車 日本最強 ☂ 車用降溫遮光幕 ↓ 降溫10°C，秒速安裝免拆卸，1秒拉遮,Shinshade.tw,674882,2880,https://www.zeczec.com//projects/Shinshade,"炎夏不用再烤車！日本銷破數萬支的遮光幕來台囉！無痛輕鬆安裝、車內降溫10°C、1萬次拉伸測試可重複使用、不擋後照鏡、寬儀錶板適用，採用高品質鋁金不易脆化，夜晚更可當投影幕，無論核心技術或外型設計...,zeczec",16 天,2022/04/07 21:00 – 2022/06/07 23:59,2022/04/07 21:00:00,2022/06/07 23:59:00
【 美國 Vionic時尚丹寧健康矯正鞋｜時尚與舒適不再只能二選一！】,VIONIC中壢門市,19067,1999,https://www.zeczec.com//projects/vionic,"您還在煩惱時尚與健康舒適只能二選一嗎？結合頂級足部科技與時尚外型，繽紛時尚，穿搭有型，Vionic給您足部最時尚的舒適體驗！,zeczec", 39 小時,2022/04/07 21:00 – 2022/05/24 23:59,2022/04/07 21:00:00,2022/05/24 23:59:00
DIGIFAST DX3 全方位隨身攜帶M.2/SSD 外接座 ｜極速讀寫 M.2/SATA ，一機搞定!,DIGIFAST INC,286655,1649,https://www.zeczec.com//projects/digifast,"你也有這種困擾嗎? 換桌機、換筆電，備份重要資料時當掉超崩潰？ 各種外接盒組裝/拆卸超耗時？你的聲音，DIGIFAST聽到了， 史上最方便跨介面傳輸大師DX3 M.2/SSD外接座就此誕生!!!,zeczec",,2022/04/07 20:00 – 2022/05/22 23:59,2022/04/07 20:00:00,2022/05/22 23:59:00
JTS 無線接收擴音喇叭 WA-1,寬升科技,0,42500,https://www.zeczec.com//projects/WA1,"便利與機動性，配合多變的應用情境最符合斜槓世代的不同使用需求，可適用於商務展演亦可居家休閒，感受當下最真實的聲音。,zeczec",4 天,2022/04/07 14:00 – 2022/05/26 23:59,2022/04/07 14:00:00,2022/05/26 23:59:00
SGS PRO 智慧迷你雕刻拋光筆｜無線便攜，雕刻、打磨、拋光的最佳助手！,Arrowmax Taiwan,980910,2280,https://www.zeczec.com//projects/sgs-pro-smart-mini-electric-engraving-polishing-pen,"Arrowmax 便攜式智能工具套組 系列中的第三款『SGS PRO』 - 作為一個小型無線智能工具 讓你在任何時候都能隨意雕刻、研磨、打磨和拋光任何物件。,zeczec",9 天,2022/04/07 12:00 – 2022/05/31 23:59,2022/04/07 12:00:00,2022/05/31 23:59:00
MUFU V30P 好神機｜前後雙錄機車行車記錄器｜內建違規偵測語音播報提醒功能幫你『省荷包』,MUFU,6645421,3890,https://www.zeczec.com//projects/mufu-v30p,"MUFU機車行車記錄器安裝使用很簡單，前後雙錄記錄影像，獨創違規點偵測語音播報，為國民省荷包，機車族必備好神機,zeczec",19 天,2022/04/07 11:00 – 2022/06/10 23:59,2022/04/07 11:00:00,2022/06/10 23:59:00
《 Roidmi 睿米 X300 無線吸拖吸塵器 》1 鍵自動 吸拖/清洗/瀝乾｜27000 Pa 頂規吸塵力｜90 分鐘超長續航,Roidmi Taiwan 睿米,1722320,19980,https://www.zeczec.com//projects/roidmi-x300,"連最麻煩的清洗髒拖布都能解放雙手，才是真正實現全自動潔淨！專為懶人族設計、超越市場旗艦機型的全方位功能 ───「最強 CP 值無線吸拖吸塵器」登場！,zeczec",16 天,2022/04/06 21:00 – 2022/06/08 02:00,2022/04/06 21:00:00,2022/06/08 02:00:00
【HANLIN-RK2 超薄雙模式聲控錄音卡】 16G超長192小時錄音/輕薄收納/隱匿無形/聲控錄音/數位降噪/ 斷電保存 ,漢電科技生活,798783,2280,https://www.zeczec.com//projects/hanlin-rk2-16g-192,"超薄4mm輕巧錄音卡/ 小身材 /大容量/ 超長16G-192小時錄音 ！,zeczec",26 天,2022/04/06 12:00 – 2022/06/17 23:59,2022/04/06 12:00:00,2022/06/17 23:59:00
日本專利製造┃雙面立體突起刺激穴道的腳底按摩襪，讓您只要走路就可以促進身體血液循環，跟畏寒說掰掰！,Fabridge,187400,5000,https://www.zeczec.com//projects/Toe-Socks,"襪子外側印有足部穴位圖！內側多達600多個立體突起墊刺激整個腳底！每天穿每天都能舒適的透過腳底刺激來釋放全身的壓力～,zeczec",9 天,2022/04/06 12:00 – 2022/05/31 23:59,2022/04/06 12:00:00,2022/05/31 23:59:00
今天開始背包不落地，防疫好安逸! 日本人氣熱銷，多功能『Smart Hook包袋隨身掛勾』,Neo Choice ,1049833,398,https://www.zeczec.com//projects/smart-hook,"外出或旅旅中不再擔心背包要放在哪裡了！ 隨時保持背包行李的清潔！ 手機支架/包袋掛勾/鑰匙圈/登山扣 多個願望一次滿足!,zeczec",8 天,2022/03/31 21:00 – 2022/05/31 21:00,2022/03/31 21:00:00,2022/05/31 21:00:00
日本超人氣【 ISSENO ! 塑身蹦蹦墊】跟痛苦的健身說 莎喲娜拉~,Neo Choice ,1806705,3390,https://www.zeczec.com//projects/isseno,"只要彈跳10分鐘，就能幫助淋巴增強運作30倍，高效有氧運動。 在日本成為熱門話題的新型健身器材。 全家一起享受ISSENO!塑身蹦蹦墊帶來的快樂健身吧！,zeczec",9 天,2022/03/29 21:00 – 2022/05/31 23:59,2022/03/29 21:00:00,2022/05/31 23:59:00
2022 閱讀島中央 週三讀書會｜現場與線上講座同步啟動,財團法人上善人文基金會中央書局,1470800,1200,https://www.zeczec.com//projects/cbs_wed_reading_s3,"老店新生，以創造風潮的讀書會，繼承中台灣的人文精神。從臺中中央書局出發到全臺的閱讀熱情,邀請你繼續參加這個盛大的閱讀計畫,由詹宏志、王浩威、曾成德、焦元溥、楊澤等5位講師組成黃金陣容,線上/現場...,zeczec", 15 小時,2022/03/23 21:00 – 2022/05/23 23:59,2022/03/23 21:00:00,2022/05/23 23:59:00
邏輯解謎｜密室逃脫桌遊 破解古老的秘密,Amodas,1028920,1490,https://www.zeczec.com//projects/escapewelt-puzzle-tw,"我們把實境密室逃脫縮小了，德國進口全木製，運用你的邏輯破解密碼，得到最後的智慧！,zeczec",9 天,2022/03/22 12:00 – 2022/06/01 02:00,2022/03/22 12:00:00,2022/06/01 02:00:00
【 Revopoint POP 2｜攜帶式 3D 全彩高精度掃描儀 】0.05mm 高精度升級，個人化逆向掃描建模王者再革新！,Revopoint 3D Taiwan,9924944,13980,https://www.zeczec.com//projects/revopoint-pop-2,"更高掃描精度，更流暢的操作，更好的色彩效果，無刺激光源的紅外掃描原理，檔案格式相容性高。自動對齊與自定義編輯功能設定，輕巧好攜帶的造型與簡易的連接方式。,zeczec",8 天,2022/03/16 12:00 – 2022/05/31 02:00,2022/03/16 12:00:00,2022/05/31 02:00:00
Sealito T2 無線∞輕巧真空保鮮機｜一鍵真空封口，鎖住新鮮美味！,Sealito Taiwan,11410481,3360,https://www.zeczec.com//projects/sealito-t2,"免插電設計，好移動不佔位，擺脫線材的糾纏！四種真空與封口模式，更內置可拆集水槽與滑軌切刀，你想要的功能一次擁有！,zeczec", 17 小時,2022/03/15 21:00 – 2022/05/24 02:00,2022/03/15 21:00:00,2022/05/24 02:00:00
世新大學廣電系｜第 28 屆畢業製作 《素色系》首張同名專輯預購！,素色系,32806,88,https://www.zeczec.com//projects/sosexyband,"把多餘聲音關掉，讓我們仔細聆聽， 素色的衣服，簡單的思想， 重回到 1980 年代的台灣，聽見最初的感動！ 大家好，我們是「素色系」！,zeczec",,2022/03/14 13:14 – 2022/05/22 23:59,2022/03/14 13:14:00,2022/05/22 23:59:00
超音波⚡隨身清洗盒｜99.9% 潔淨力，補氧+保濕+清潔，一機到位！,Future Clean⁺,5734871,999,https://www.zeczec.com//projects/future-clean,"一鍵清潔，將平常清不到的髒污、灰塵通通震飛！搭載 IPX5 級防水、超高續航、補光燈，不論居家出門，一盒全搞定！,zeczec", 17 小時,2022/03/08 20:00 – 2022/05/24 02:00,2022/03/08 20:00:00,2022/05/24 02:00:00
JNA BP-401 快取郵差包 : 磁吸快取、創新收納設計，3種容量擴充方式，跨肩背/側肩背都有型！,JNA,5456564,3080,https://www.zeczec.com//projects/jna-bp-401,"我們以物品的重要性及取用頻率為規劃原則，衡量單手或雙手開包的需求、頻率及安全性，設計各種不同的口袋及開關方式，配置包包的四周，讓您在生活與工作無往不利～！,zeczec",16 天,2022/03/07 21:00 – 2022/06/08 02:00,2022/03/07 21:00:00,2022/06/08 02:00:00
李映霏💜 不思議音樂占卜書專輯 x 鬼靈精塔羅 預購 ,李映霏 Moonrize ,299113,650,https://www.zeczec.com//projects/moonrize,"李映霏實體專輯及周邊預購,zeczec",9 天,2022/03/01 11:00 – 2022/05/31 23:59,2022/03/01 11:00:00,2022/05/31 23:59:00
低衝擊！關節、心肺零負擔！改變世界的家常運動：iNO 太空人律動機,iNO,114444900,16800,https://www.zeczec.com//projects/ino-600,"40年來千篇醫學論文證實【律動】是最簡單、輕鬆、安全的運動。30年前的太空人失去地心引力無法運動，而現代高齡化、忙碌沒時間運動的我們，就是太空人！,zeczec",,2021/12/15 12:00 – 2022/01/10 23:59,2021/12/15 12:00:00,2022/01/10 23:59:00
【 萬播 T2R Max｜攜帶式微型投影機 】嘖嘖全球唯一首發！最強 CP 值，帶著走的行動劇院！,睿濬國際,40318600,7180,https://www.zeczec.com//projects/wanbo,"海外投影機類熱銷冠軍品牌，為使用者帶來全新沉浸式娛樂體驗。追劇、打 Game 不想再被侷限? 小空間也可以有大改變，台灣全球首發，CP 值最高的微型可支援 4K 投影機！,zeczec",,2021/04/27 12:00 – 2021/06/24 02:00,2021/04/27 12:00:00,2021/06/24 02:00:00
一秒變換風格，只要翻轉背包 - FlipBag™ by Allrover™,allrover®,69245122,730,https://www.zeczec.com//projects/flipbag,"FlipBag™ 翻轉背包，藉由專利的超快速變形結構「FLIP MECH +」，手提包一秒變成後背包，伴隨你的身份或場所的變化。出門不用再多帶一個包包，搭配風格由你決定。,zeczec",,2016/06/01 00:00 – 2016/08/10 23:59,2016/06/01 00:00:00,2016/08/10 23:59:00
Stair-Rover™ - 八輪滑板讓你遨遊城市 毫無阻攔,allrover®,39062040,5980,https://www.zeczec.com//projects/allrover,"Stair-Rover是一塊能讓你在都市衝浪遨遊的滑板，板如其名，它獨特的八輪設計不但能跨越各種都市地形，更能讓你從樓梯頂端一衝而下，體會在水泥叢林浪端滑翔的快感！,zeczec",,2014/08/25 00:00 – 2014/10/20 23:59,2014/08/25 00:00:00,2014/10/20 23:59:00
