【IDMIX / P140 / 140W GaN 氮化鎵快速充電器】爆猛 140W 充電王者降臨！同級最高功率、支援 PD3.1、2C1A 強效輸出！,Chic Flott 奇舫優選,128465,1980,https://www.zeczec.com/projects/idmix-p140-140w-gan-140w-2c1a,"同級最高規格 140W 輸出功率，可支援 MacBook Pro 全速充電 & 眾多品牌之筆記型電腦、平板電腦、智慧型手機進行充電，日用、差旅、辦公、出遊，就這麼一顆，搞定你的充電事！,zeczec",58 天,2022/04/15 12:00 – 2022/06/14 23:59,2022/04/15 12:00:00,2022/06/14 23:59:00
【 HyperSonic+  |  職人護髮離子吹風機 】   品味生活 職人呵護 | 擁有自己專屬的髮型造型師,ZERO | 零式創作,1112690,3290,https://www.zeczec.com/projects/HyperSonic,"獨家冷熱循環護理技術，針對各種不同需求，享有最舒適的風段，善用冷熱風交替吹才最美！,zeczec",16 天,2022/03/21 12:00 – 2022/05/04 00:00,2022/03/21 12:00:00,2022/05/04 00:00:00
《AI助聽器┃歐洲原廠 裸機直供》為父母做主，揮別對話不清楚,助聽器互助合作社,9888,9888,https://www.zeczec.com/projects/widex-online,"降低購機門檻，子女孝親無壓 ★創新助聽器販售方案★ 讓有需求的人可以用裸機價格購機，服務和保固等有需求時再實支實付,zeczec",14 天,2022/03/18 12:00 – 2022/05/02 02:00,2022/03/18 12:00:00,2022/05/02 02:00:00
✹ PILMOA 迷你露營燒柴爐 ✹｜露營在走・行頭要有－最 mini、最 PRO 的露營好火伴 .ᐟ ,PILMOA,2010470,3990,https://www.zeczec.com/projects/pilmoa-mini-pro,"日韓集資累計 1000 萬以上的露營質感炫風－ PILMOA 迷你露營燒柴爐來了 .ᐟ 1 秒組裝，10 秒收納，最小、最高質感直接開露 .ᐟ ,zeczec",22 天,2022/03/17 20:00 – 2022/05/09 23:59,2022/03/17 20:00:00,2022/05/09 23:59:00
【Samantha Thavasa Lotte｜MY SHELL 針織百褶包組】韓國樂天跨界設計，輕量兼具時尚，俏皮迎接春天！,Samantha Thavasa Lotte Taiwan,19880,2480,https://www.zeczec.com/projects/samantha-thavasa-lotte-my-shell,"Apink 孫娜恩獨家代言，輕量好攜帶 × 環保聚酯材質，韓國首爾原廠製造，品質嚴格控管！,zeczec",11 天,2022/03/17 12:00 – 2022/04/29 02:00,2022/03/17 12:00:00,2022/04/29 02:00:00
【蕃茄主義｜幸福是好好吃一頓飯】24年預約制私廚，首次推出的四款義式魔法醬,蕃茄主義,416837,1060,https://www.zeczec.com/projects/pomodoro,"24年來以愛之名，行療癒之實的蕃茄主義 溫柔閱讀每款食材，造就一道道蘊含風土氣息的自然佳餚， 為期待好好吃一頓飯的你，帶來邁向幸福的力量。,zeczec",13 天,2022/03/16 20:00 – 2022/04/30 23:59,2022/03/16 20:00:00,2022/04/30 23:59:00
【 Revopoint POP 2｜攜帶式 3D 全彩高精度掃描儀 】0.05mm 高精度升級，個人化逆向掃描建模王者再革新！,Revopoint 3D Taiwan,7558431,13980,https://www.zeczec.com/projects/revopoint-pop-2,"更高掃描精度，更流暢的操作，更好的色彩效果，無刺激光源的紅外掃描原理，檔案格式相容性高。自動對齊與自定義編輯功能設定，輕巧好攜帶的造型與簡易的連接方式。,zeczec",9 天,2022/03/16 12:00 – 2022/04/27 02:00,2022/03/16 12:00:00,2022/04/27 02:00:00
Sealito T2 無線∞輕巧真空保鮮機｜一鍵真空封口，鎖住新鮮美味！,Sealito Taiwan,6928086,3160,https://www.zeczec.com/projects/sealito-t2,"免插電設計，好移動不佔位，擺脫線材的糾纏！四種真空與封口模式，更內置可拆集水槽與滑軌切刀，你想要的功能一次擁有！,zeczec",8 天,2022/03/15 21:00 – 2022/04/26 02:00,2022/03/15 21:00:00,2022/04/26 02:00:00
【HANLIN鑽石智能語音家電遙控器】人人動口不動手！冷氣/電視/音響/風扇/掃地機器人/機頂盒/小夜燈/空氣清淨機,漢電科技生活,446163,3916,https://www.zeczec.com/projects/smarthanlin,"這是一台集全優點於一身！  語音家電遙控器！免app 紅外線控制  市面唯一 單機器 紅外線遙控最多款家電的語音智能遙控器,zeczec",29 天,2022/03/15 12:00 – 2022/05/16 23:59,2022/03/15 12:00:00,2022/05/16 23:59:00
PHILIPS 冷暖兩用無葉風扇｜每天都是時尚風,DoubleLife,3041962,6990,https://www.zeczec.com/projects/PHILIPS_AHR5164FD,"PHILIPS在台首度推出無扇葉風扇，鋁合金機身、超遠風距、搭配DC恆溫， 絕對是你365天的居家神隊友。,zeczec",11 天,2022/03/15 12:00 – 2022/04/28 23:59,2022/03/15 12:00:00,2022/04/28 23:59:00
BalanceOn 蜂巢凝膠『雙背』護脊椅 ▪ 實時支撐您的背部和腰部並減緩壓力，達到「腰椎合一」。,inco,1733940,2980,https://www.zeczec.com/projects/balanceon-Dual-Fit-Chair,"雙背護脊椅能將壓力分散在背部以緩解疲勞，並通過緊緊地包裹背部和腰部，減少施加的壓力，使其即使在移動或變化時也不會失去穩定性和支撐。#inco,zeczec",16 天,2022/03/15 11:00 – 2022/05/03 23:59,2022/03/15 11:00:00,2022/05/03 23:59:00
專為小資族精打細算｜JARVISH Flash Lite 智慧安全帽,JARVISH 酷設工坊,422730,5490,https://www.zeczec.com/projects/flashlite,"當今唯一高畫質錄影連續使用七個小時的整合型智慧安全帽，高規防護，兼具騎乘娛樂，更通過台灣嚴格法規，上路安全又實用！,zeczec",44 天,2022/03/13 22:00 – 2022/05/31 23:59,2022/03/13 22:00:00,2022/05/31 23:59:00
日本製造｜無麩質 & 使用 100％ 國產米製作🏮千房大阪燒🏮只要微波５分鐘✋,Chefooo,41211,899,https://www.zeczec.com/projects/pchefooo,"安心・安全・簡單・美味👀 輕鬆突破飲食限制，不使用麵粉的大阪燒與客製化平鏟，一邊享受美食一邊應援日本的飲食文化吧📢🗾,zeczec",13 天,2022/03/10 12:00 – 2022/04/30 23:59,2022/03/10 12:00:00,2022/04/30 23:59:00
當童話角色不再屬於故事，暗黑系卡牌桌遊《反轉寓言》,AsmodeeTW,1089310,40,https://www.zeczec.com/projects/twisted-fables,"當大野狼成為小紅帽的力量、白雪公主調配劇毒蘋果、睡美人自黑暗甦醒...在《反轉寓言》中，你所熟知的童話角色即將拿起武器、發動強力的技能。選擇你的角色並構築一副強力的牌組，但只有一個寓言能夠成真...,zeczec",,2022/03/09 18:00 – 2022/04/18 02:00,2022/03/09 18:00:00,2022/04/18 02:00:00
加拿大吸血內褲品牌Aisle｜全世界獨創加量襯墊｜杜絕經期不安,Aisle吸血內褲,18263,999,https://www.zeczec.com/projects/aisle,"Aisle 前身為 Lunapads，是一個從 1993 年創立至今的加拿大老品牌，提供舒適、高品質、地球友善的生理用品，不只是月亮杯、布衛生棉，還有多款吸血內褲。,zeczec",23 天,2022/03/08 21:00 – 2022/05/10 23:59,2022/03/08 21:00:00,2022/05/10 23:59:00
超音波⚡隨身清洗盒｜99.9% 潔淨力，補氧+保濕+清潔，一機到位！,Future Clean⁺,3781858,999,https://www.zeczec.com/projects/future-clean,"一鍵清潔，將平常清不到的髒污、灰塵通通震飛！搭載 IPX5 級防水、超高續航、補光燈，不論居家出門，一盒全搞定！,zeczec", 16 小時,2022/03/08 20:00 – 2022/04/19 02:00,2022/03/08 20:00:00,2022/04/19 02:00:00
Smio.V 美妍小 V ✦ 4 in 1 溫冷緊緻按摩儀，在家就能享受的頂級 SPA 舒壓保養！,lisscode,6651112,2180,https://www.zeczec.com/projects/lisscode-smio-v,"台灣設計製造，一機結合導入、冰敷、按摩、刮痧，從臉到腳全方位完美貼合，舒壓與保養一次滿足。維持你最美狀態的秘密武器！,zeczec",23 天,2022/03/08 12:00 – 2022/05/11 02:00,2022/03/08 12:00:00,2022/05/11 02:00:00
【欣芝樟靈】樟芝+靈芝 雙效膠囊 │ 用吃的健康「芝」己  隨身帶生活需「芝」  ,長青寶,0,3050,https://www.zeczec.com/projects/Ime-healthday-life,"沒有最強只有更強，樟芝的好加上靈芝的優，全新雙效產品─欣芝樟靈 嘖嘖專屬預購,zeczec",13 天,2022/03/08 12:00 – 2022/05/01 02:00,2022/03/08 12:00:00,2022/05/01 02:00:00
蓋廟特急｜開箱土地公王新家，🔧虎爺監工日記，香民大德邊蓋邊募！,蘆洲三角頭五福宮功德會,4424416,520,https://www.zeczec.com/projects/tudigong3,"一座前所未見的當代廟宇正式動土、邊蓋邊募，集聚香民大德願力，募集最後一塊磚瓦，陪伴土地公回家！,zeczec",19 天,2022/03/07 20:00 – 2022/05/07 02:00,2022/03/07 20:00:00,2022/05/07 02:00:00
【朵食餐盒 】｜主食配菜分好好、輕鬆享受美佳餚,盛食良品,0,650,https://www.zeczec.com/projects/tastelivingduoshicanhe,"Tritan(改質PCT)餐盒可將主食配菜分隔、中盤深度達30MM，也可裝蓋澆醬料，配合專屬提袋、汁水不易洩漏。 造型圓潤易拿、適合全年齡、尤其幼童年長高齡者。 使用具有陶瓷圓潤質感、也兼具玻璃...,zeczec",3 天,2022/03/04 17:00 – 2022/04/20 23:59,2022/03/04 17:00:00,2022/04/20 23:59:00
▋前世記憶雷諾曼 YG.S｜全台第一副台灣人自己繪製的雷諾曼牌卡 ▋讀取前世記憶劇情推演雷諾曼,恩威顧問管理股份有限公司,604223,1700,https://www.zeczec.com/projects/memory-renoman,"覺醒研究所的雷諾曼占卜老師謝巖谷，出版自繪的雷諾曼卡牌以及占卜教學書籍，濃縮多年的教學經驗以及華人更能理解的聯想方式撰寫成書，並搭配自繪牌卡教大家獨創的用雷諾曼讀取前世記憶的占卜法！,zeczec",17 天,2022/03/04 12:00 – 2022/05/04 23:59,2022/03/04 12:00:00,2022/05/04 23:59:00
KiTiDOT毛孩互動項圈，7天試玩，放心下單，主子說了算！,Wicked Lab TW,118459,549,https://www.zeczec.com/projects/kitidot,"KiTiDOT是一款創新型的寵物互動項圈，內置多角度光源頭，3種互動模式，提升毛孩反應能力，極限追捕釋放天性！,zeczec",14 天,2022/03/02 11:00 – 2022/05/02 02:00,2022/03/02 11:00:00,2022/05/02 02:00:00
釋放雙手的負擔 |日本獨家專利SYANTO V-ring手機指環 ,Neo Choice ,345790,690,https://www.zeczec.com/projects/syanto-v-ring,"台灣首賣! SYANTO V-ring手機指環，創意設計專利/羊革真皮/相容各式手機殼。日本募資破千萬，3000人贊助支持!  將手機重心拉低，從而減輕手的負重!,zeczec",14 天,2022/03/01 21:00 – 2022/05/01 23:59,2022/03/01 21:00:00,2022/05/01 23:59:00
Glolux 多功能可視採耳棒｜獨創可伸縮鏡頭，高清畫素、無人機芯片不掉圖 一支搞定個人清潔！,樂趣行創,276491,1780,https://www.zeczec.com/projects/glolux-find-x,"獨創可伸縮的內視型挖耳棒，結合擠痘功能，打造獨一無二的進化衛生用品，提升生活品質外更兼顧衛生習慣以及提高使用效率！,zeczec",13 天,2022/03/01 12:00 – 2022/04/30 23:59,2022/03/01 12:00:00,2022/04/30 23:59:00
李映霏💜  不思議音樂占卜書專輯 x 鬼靈精塔羅 預購 ,李映霏 Moonrize ,287556,650,https://www.zeczec.com/projects/moonrize,"李映霏實體專輯及周邊預購,zeczec",3 天,2022/03/01 11:00 – 2022/04/20 23:59,2022/03/01 11:00:00,2022/04/20 23:59:00
wesmile 美顏超音波電動牙刷洗臉機 戀愛粉/紳士灰 老是長痘痘嗎？可能是洗臉沒洗乾淨喔！,躍杰股份有限公司,116676,2780,https://www.zeczec.com/projects/wesmile,"您看過 電動牙刷 也可以是 洗臉機 ?  潔牙、潔面一機就可以搞定!,zeczec",14 天,2022/02/28 00:00 – 2022/05/01 23:59,2022/02/28 00:00:00,2022/05/01 23:59:00
【純鈦超大容量鯨魚冰霸杯】800ml ＆650ml 『獨家專利StrawInside® 吸管內藏設計』3大技術＋5大多國專利，顛覆想像冰霸杯大革新,TiKOBO 鈦工坊,5365580,1980,https://www.zeczec.com/projects/tikobo_titanium-whale-tumbler,"純鈦吸管藏杯身，乾淨衛生！好輕、好洗，不卡味、不挑飲品｜長效保冰保溫，給您鈦不一樣的頂級體驗,zeczec",13 天,2022/02/25 21:00 – 2022/04/30 23:59,2022/02/25 21:00:00,2022/04/30 23:59:00
最後倒數，絕不延長🚨InPure 蒸舒壺｜一壺抵五台－結合電火鍋、快煮壺、舒肥機、優格機的自煮神器！自煮，讓生活更養生健康！,Inpure,815570,2590,https://www.zeczec.com/projects/sufupot,"InPure 蒸舒壺，一台結合舒肥機、優格機、燉煮鍋、電火鍋、泡茶機，一壺搞定廚房大小事。12種菜單快速按鍵、9.5小時智能預約，讓享受自煮生活也能變得舒舒服服。,zeczec",4 天,2022/02/22 21:00 – 2022/04/21 23:59,2022/02/22 21:00:00,2022/04/21 23:59:00
辣覺美學全感新體驗-挑食/金沙辣椒醬,掌杓之家,29110,390,https://www.zeczec.com/projects/pickiesfood,"一罐罐寄託了對家鄉美食的深情。 舌頭嚐了清新爽亮的麻辣滋味，胃裡暖和了，心就熱了。,zeczec",3 天,2022/02/22 20:00 – 2022/04/20 23:59,2022/02/22 20:00:00,2022/04/20 23:59:00
Bard’s Whisper 哥德始源錶「聖喬治與龍」｜ 誕生於台灣的哥德式機械錶,吟遊詩人的呢喃,2475980,32800,https://www.zeczec.com/projects/bardswhisper-sanctus-georgius-and-dragon,"在42mm的錶面之上、以雕像重現了聖喬治與龍戰鬥的場面。暨2020年作品「聖母」後，再次聚集了多位台灣藝術家齊心創作，將機芯與工藝再次升級，企圖挑戰世界名錶的癡迷。,zeczec",17 天,2022/02/16 20:00 – 2022/05/04 23:59,2022/02/16 20:00:00,2022/05/04 23:59:00
Petite 波提指甲剪 | 日本職人百年工藝純手工鍛造，讓剪指甲變成日常感動 | SUWADA 諏訪田製作所,Single Step,6639781,1699,https://www.zeczec.com/projects/suwada-petite,"SUWADA日本職人指甲剪全新作品，讓每個人都能安心享受專業「鉗形指甲剪」完美剪切體驗。指甲切口平滑不必再使用銼刀。可被重複打磨恢復鋒利使用終身。精緻小巧便於攜帶的實用職人逸品。,zeczec", 15 小時,2022/02/16 12:00 – 2022/04/18 23:59,2022/02/16 12:00:00,2022/04/18 23:59:00
【ONEmade】13 in 1 SSD多功能擴充盒|打造一應俱全的超強工作站,宏致電子股份有限公司,667422,4280,https://www.zeczec.com/projects/onemade-13-in-1-ssd,"為你完美打造多螢幕作業環境/快速充電/大量備份/資料高速傳輸的工作站｜東西一顆就夠，滿足你商務上的所有需求,zeczec",,2022/02/16 12:00 – 2022/04/15 23:59,2022/02/16 12:00:00,2022/04/15 23:59:00
TailHigh 2合1 寵物胸背帶｜牽繩就在背帶裡，不用擔心搞丟啦 !,TailHigh,261111,1850,https://www.zeczec.com/projects/tailhigh-2-1,"來自韓國專門開發寵物友善產品的團隊，不同於一般市面上的寵物背帶設計，讓毛孩與爸媽們出門遊玩更方便， !,zeczec",3 天,2022/02/16 12:00 – 2022/04/21 02:00,2022/02/16 12:00:00,2022/04/21 02:00:00
讓我們一起慢慢感受世界｜《快一點！》繪本出版計劃,高齊駿,89846,500,https://www.zeczec.com/projects/hurryup,"我是齊駿， 畫畫是我說話的方式， 我說的話輕輕的、慢慢的。這是一本關於失去信心的孩子，用畫筆對抗壓力的故事。,zeczec",,2022/02/15 20:00 – 2022/04/15 23:59,2022/02/15 20:00:00,2022/04/15 23:59:00
【日本官方授權│鬼滅之刃背包】禰豆子&炭治郎強勢登場，金牌專利🔥 4合1再升級，10秒轉換後背、手提、收納！,deya,139138,1480,https://www.zeczec.com/projects/deya-Kimetsu,"日本超人氣IP官方授權，deya設計開發製造，鬼滅迷必收藏！打造【鬼滅之刃背包】，讓炭治郎與禰豆子陪你一起踏上冒險旅程~,zeczec",,2022/02/15 10:30 – 2022/04/15 23:59,2022/02/15 10:30:00,2022/04/15 23:59:00
SFS標準訓練型泳裝｜水下合身 X 水上舒適，厚磅、耐磨、高彈性專業訓練泳裝！,百事得企業有限公司,22740,1260,https://www.zeczec.com/projects/SFS,"專利設計、精選厚磅布料、合身剪裁、搭配極致工藝，具超防潑水及永久抗氯特色，我們將帶領你挖掘泳者的潛在困擾，將其各個解決。,zeczec",13 天,2022/02/14 20:00 – 2022/05/01 02:00,2022/02/14 20:00:00,2022/05/01 02:00:00
低衝擊！關節、心肺零負擔！改變世界的家常運動：iNO 太空人律動機,iNO,114444900,16800,https://www.zeczec.com/projects/ino-600,"40年來千篇醫學論文證實【律動】是最簡單、輕鬆、安全的運動。30年前的太空人失去地心引力無法運動，而現代高齡化、忙碌沒時間運動的我們，就是太空人！,zeczec",,2021/12/15 12:00 – 2022/01/10 23:59,2021/12/15 12:00:00,2022/01/10 23:59:00
【 萬播 T2R Max｜攜帶式微型投影機 】嘖嘖全球唯一首發！最強 CP 值，帶著走的行動劇院！,睿濬國際,40318600,7180,https://www.zeczec.com/projects/wanbo,"海外投影機類熱銷冠軍品牌，為使用者帶來全新沉浸式娛樂體驗。追劇、打 Game 不想再被侷限? 小空間也可以有大改變，台灣全球首發，CP 值最高的微型可支援 4K 投影機！,zeczec",,2021/04/27 12:00 – 2021/06/24 02:00,2021/04/27 12:00:00,2021/06/24 02:00:00
一秒變換風格，只要翻轉背包 - FlipBag™ by Allrover™,allrover®,69245122,730,https://www.zeczec.com/projects/flipbag,"FlipBag™ 翻轉背包，藉由專利的超快速變形結構「FLIP MECH +」，手提包一秒變成後背包，伴隨你的身份或場所的變化。出門不用再多帶一個包包，搭配風格由你決定。,zeczec",,2016/06/01 00:00 – 2016/08/10 23:59,2016/06/01 00:00:00,2016/08/10 23:59:00
Stair-Rover™ - 八輪滑板讓你遨遊城市 毫無阻攔,allrover®,39062040,5980,https://www.zeczec.com/projects/allrover,"Stair-Rover是一塊能讓你在都市衝浪遨遊的滑板，板如其名，它獨特的八輪設計不但能跨越各種都市地形，更能讓你從樓梯頂端一衝而下，體會在水泥叢林浪端滑翔的快感！,zeczec",,2014/08/25 00:00 – 2014/10/20 23:59,2014/08/25 00:00:00,2014/10/20 23:59:00
